filename,camera,label,period,source,brightness_mean,brightness_std,edge_density,saturation_mean,upper_lower_contrast,bright_spot_ratio,far_grad,far_wash,far_std,is_day
imgKFB_230101_0000.jpg,KFB,not_inside,night,heuristic_r5_hourly,44.504948,32.214859,0.020742,0.049335,0.117821,0.003525,6.897898,0.009936,28.566223,0.000000
imgKFB_230101_0100.jpg,KFB,not_inside,night,heuristic_r5_hourly,39.056931,30.373999,0.020209,0.059555,0.098787,0.002951,6.669989,0.008044,27.849323,0.000000
imgKFB_230101_0200.jpg,KFB,not_inside,night,heuristic_r5_hourly,35.403152,27.994080,0.019660,0.049255,0.073286,0.002739,6.540421,0.007518,26.972181,0.000000
imgKFB_230101_0300.jpg,KFB,not_inside,night,heuristic_r5_hourly,35.940083,27.881226,0.019007,0.046462,0.081649,0.002499,6.269542,0.006804,26.232790,0.000000
imgKFB_230101_0400.jpg,KFB,not_inside,night,heuristic_r5_hourly,35.783218,27.450882,0.016372,0.044107,0.078400,0.002391,5.567932,0.006467,25.734699,0.000000
imgKFB_230101_0500.jpg,KFB,not_inside,night,heuristic_r5_hourly,35.994778,26.415911,0.018187,0.055431,0.077050,0.002203,5.878125,0.005928,24.863173,0.000000
imgKFB_230101_0600.jpg,KFB,not_inside,night,heuristic_r5_hourly,36.457115,25.780378,0.015628,0.039728,0.081405,0.001934,5.118922,0.005283,23.826447,0.000000
imgKFB_230101_0700.jpg,KFB,not_inside,day,heuristic_r5_hourly,137.160629,76.638954,0.016071,0.153632,0.519313,0.300687,2.770695,0.637654,51.039867,1.000000
imgKFB_230101_0800.jpg,KFB,not_inside,day,heuristic_r5_hourly,142.209473,79.087776,0.019187,0.051035,0.539309,0.368162,3.435755,0.680668,52.067299,1.000000
imgKFB_230101_0900.jpg,KFB,not_inside,day,heuristic_r5_hourly,147.277679,77.029854,0.021841,0.049338,0.512761,0.434300,3.693108,0.766781,48.664017,1.000000
imgKFB_230101_1000.jpg,KFB,not_inside,day,heuristic_r5_hourly,151.060135,79.163994,0.022147,0.047883,0.528229,0.455972,3.715191,0.790324,50.174229,1.000000
imgKFB_230101_1100.jpg,KFB,not_inside,day,heuristic_r5_hourly,149.277695,81.049370,0.020584,0.049634,0.549234,0.430469,3.473097,0.751626,52.934227,1.000000
imgKFB_230101_1200.jpg,KFB,not_inside,day,heuristic_r5_hourly,151.025162,79.837296,0.020013,0.050235,0.536726,0.453949,3.254357,0.777046,51.055908,1.000000
imgKFB_230101_1300.jpg,KFB,not_inside,day,heuristic_r5_hourly,148.455032,81.675629,0.019495,0.051895,0.556337,0.420618,3.155094,0.736309,53.782696,1.000000
imgKFB_230101_1400.jpg,KFB,not_inside,day,heuristic_r5_hourly,147.245804,80.607147,0.018915,0.051314,0.547042,0.413004,3.042903,0.737766,52.745255,1.000000
imgKFB_230101_1500.jpg,KFB,not_inside,day,heuristic_r5_hourly,147.557495,78.301414,0.018877,0.053159,0.513885,0.363164,2.793544,0.741375,51.168690,1.000000
imgKFB_230101_1600.jpg,KFB,not_inside,day,heuristic_r5_hourly,138.612747,83.512451,0.015640,0.052406,0.537741,0.314317,2.529756,0.603405,59.232590,1.000000
imgKFB_230101_1700.jpg,KFB,not_inside,day,heuristic_r5_hourly,139.653900,79.406891,0.019021,0.050971,0.542273,0.341307,3.364429,0.677845,53.241325,1.000000
imgKFB_230101_1800.jpg,KFB,not_inside,day,heuristic_r5_hourly,128.307938,74.333321,0.015406,0.030298,0.509465,0.194381,2.798466,0.590029,50.138676,1.000000
imgKFB_230101_1900.jpg,KFB,not_inside,night,heuristic_r5_hourly,53.133434,35.955551,0.019455,0.054191,0.154379,0.003101,6.134044,0.009298,29.112072,0.000000
imgKFB_230101_2000.jpg,KFB,not_inside,night,heuristic_r5_hourly,52.439045,36.338684,0.019600,0.054493,0.151094,0.003149,6.290212,0.009480,30.034763,0.000000
imgKFB_230101_2100.jpg,KFB,not_inside,night,heuristic_r5_hourly,51.911541,36.133350,0.019311,0.063638,0.150518,0.003497,6.291683,0.009985,29.848040,0.000000
imgKFB_230101_2200.jpg,KFB,not_inside,night,heuristic_r5_hourly,51.859653,35.540112,0.019818,0.057890,0.148604,0.003539,6.436218,0.010447,29.534544,0.000000
imgKFB_230101_2300.jpg,KFB,not_inside,night,heuristic_r5_hourly,46.396873,32.388210,0.019528,0.065742,0.130170,0.002899,6.337818,0.008380,27.649057,0.000000
imgKFB_230102_0000.jpg,KFB,not_inside,night,heuristic_r5_hourly,43.873074,30.526649,0.018937,0.051829,0.115204,0.002890,6.121013,0.007946,26.740536,0.000000
imgKFB_230102_0100.jpg,KFB,not_inside,night,heuristic_r5_hourly,43.601982,30.161957,0.019018,0.055054,0.120688,0.002579,6.103072,0.007161,26.252874,0.000000
imgKFB_230102_0200.jpg,KFB,not_inside,night,heuristic_r5_hourly,41.697601,30.391596,0.018775,0.061451,0.123362,0.002546,6.108067,0.007035,26.434738,0.000000
imgKFB_230102_0300.jpg,KFB,not_inside,night,heuristic_r5_hourly,43.214836,29.641979,0.018352,0.054292,0.120566,0.002381,5.834494,0.006411,25.918266,0.000000
imgKFB_230102_0400.jpg,KFB,not_inside,night,heuristic_r5_hourly,42.057373,28.629745,0.018435,0.048046,0.110798,0.002367,5.837946,0.006446,25.225834,0.000000
imgKFB_230102_0500.jpg,KFB,not_inside,night,heuristic_r5_hourly,39.188046,27.832840,0.017743,0.065913,0.109238,0.002071,5.656116,0.005500,24.539738,0.000000
imgKFB_230102_0600.jpg,KFB,not_inside,night,heuristic_r5_hourly,38.001423,26.935955,0.017716,0.058871,0.102030,0.001958,5.613416,0.005213,24.013966,0.000000
