filename,golden,heuristic_v5
imgKFB_160104_1705.jpg,not_inside,not_inside
imgKFB_160106_1135.jpg,not_inside,not_inside
imgKFB_160106_1205.jpg,not_inside,not_inside
imgKFB_160114_1535.jpg,not_inside,inside_cloud
imgKFB_160114_0805.jpg,not_inside,inside_cloud
imgKFB_160105_0505.jpg,inside_cloud,inside_cloud
imgKFB_160101_1845.jpg,not_inside,not_inside
imgKFB_160113_0305.jpg,not_inside,not_inside
imgKFB_160103_0130.jpg,not_inside,inside_cloud
imgKFB_160113_1145.jpg,not_inside,not_inside
imgKFB_160101_1110.jpg,not_inside,inside_cloud
imgKFB_160105_0415.jpg,inside_cloud,inside_cloud
imgKFB_160106_1200.jpg,not_inside,not_inside
imgKFB_160111_1245.jpg,not_inside,not_inside
imgKFB_160104_1200.jpg,not_inside,inside_cloud
imgKFB_160111_1145.jpg,not_inside,not_inside
imgKFB_160111_1345.jpg,not_inside,inside_cloud
imgKFB_160102_2045.jpg,not_inside,not_inside
imgKFB_160114_2135.jpg,inside_cloud,inside_cloud
imgKFB_160113_0345.jpg,not_inside,not_inside
imgKFB_160103_0910.jpg,inside_cloud,inside_cloud
imgKFB_160105_1155.jpg,inside_cloud,inside_cloud
imgKFB_160105_2150.jpg,not_inside,not_inside
imgKFB_160103_1825.jpg,inside_cloud,inside_cloud
imgKFB_160114_1810.jpg,not_inside,not_inside
imgKFB_160102_1850.jpg,not_inside,not_inside
imgKFB_160106_1120.jpg,not_inside,not_inside
imgKFB_160104_1720.jpg,not_inside,inside_cloud
imgKFB_160112_0615.jpg,not_inside,not_inside
imgKFB_160110_2005.jpg,not_inside,not_inside
imgKFB_160105_2250.jpg,not_inside,not_inside
imgKFB_160114_1550.jpg,not_inside,inside_cloud
imgKFB_160114_1745.jpg,not_inside,inside_cloud
imgKFB_160111_1645.jpg,not_inside,inside_cloud
imgKFB_160114_1935.jpg,not_inside,not_inside
imgKFB_160102_2205.jpg,not_inside,not_inside
imgKFB_160110_2350.jpg,not_inside,not_inside
imgKFB_160113_0710.jpg,not_inside,not_inside
imgKFB_160102_1115.jpg,not_inside,inside_cloud
imgKFB_160111_1310.jpg,not_inside,not_inside
imgKFB_160111_2025.jpg,not_inside,not_inside
imgKFB_160103_1805.jpg,inside_cloud,not_inside
imgKFB_160111_1030.jpg,not_inside,not_inside
imgKFB_160111_1205.jpg,not_inside,not_inside
imgKFB_160116_1310.jpg,inside_cloud,inside_cloud
imgKFB_160102_0335.jpg,not_inside,inside_cloud
imgKFB_160115_0340.jpg,inside_cloud,inside_cloud
imgKFB_160111_0630.jpg,not_inside,inside_cloud
imgKFB_160104_1405.jpg,not_inside,inside_cloud
imgKFB_160104_2215.jpg,not_inside,not_inside
imgKFB_160114_0610.jpg,not_inside,not_inside
imgKFB_160115_0000.jpg,inside_cloud,inside_cloud
imgKFB_160112_0225.jpg,not_inside,not_inside
imgKFB_160113_0810.jpg,not_inside,inside_cloud
imgKFB_160101_1125.jpg,not_inside,inside_cloud
imgKFB_160105_0450.jpg,inside_cloud,inside_cloud
